,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget,production_countries,runtime,spoken_languages,production_companies
603692,False,/e8BCc8Jk11dnSffI6ElICLePvLZ.jpg,"[28, 53, 80]",en,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",206.11,/jPJfq3s7UybktndveSbhwsReYqH.jpg,2023-03-24,John Wick: Chapter 4,False,0.0,0,0,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",169,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]","[{'id': 3528, 'logo_path': '/cCzCClIzIh81Fa79hpW5nXoUsHK.png', 'name': 'Thunder Road', 'origin_country': 'US'}, {'id': 23008, 'logo_path': '/5SarYupipdiejsEqUkwu1SpYfru.png', 'name': '87Eleven', 'origin_country': 'US'}, {'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 491, 'logo_path': '/rUp0lLKa1pr4UsPm8fgzmnNGxtq.png', 'name': 'Summit Entertainment', 'origin_country': 'US'}]"
845659,False,/98Hak5vgStHNrQ90ZfDiHSto1hV.jpg,"[10749, 18]",en,Perfect Addiction,"When successful boxing trainer Sienna Lane discovers that her boyfriend Jax, the reigning champion, has been cheating on her with her own sister, she sets out to get revenge by training the one man capable of dethroning him: his arch-nemesis Kayden.",150.935,/AaLnyYIAmMpHHPzowyoaY5sO2a1.jpg,2023-03-27,Perfect Addiction,False,4.5,2,0,"[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",98,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]","[{'id': 47, 'logo_path': '/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png', 'name': 'Constantin Film', 'origin_country': 'DE'}, {'id': 124233, 'logo_path': None, 'name': 'JB Pictures', 'origin_country': 'GB'}, {'id': 187303, 'logo_path': '/5CJA1Ej3gJxosjkzz2T7AeLw1SQ.png', 'name': 'Spark Productions', 'origin_country': 'CH'}, {'id': 182897, 'logo_path': None, 'name': 'Wattpad WEBTOON Studios', 'origin_country': 'US'}]"
934433,False,/sDoFLl0fEOIsBUJkDINxLiTnkXc.jpg,"[27, 9648, 53]",en,Scream VI,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",139.058,/yAwJA1Y2Kt1XdbX72cL4MKtIDs3.jpg,2023-03-09,Scream VI,False,0.0,0,35000000,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",123,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]","[{'id': 126588, 'logo_path': '/cNhOITS96oOV7SCgUHxvZlWRecx.png', 'name': 'Radio Silence', 'origin_country': 'US'}, {'id': 130448, 'logo_path': '/yHWTTGKbOGZKUd1cp6l3uLyDeiv.png', 'name': 'Project X Entertainment', 'origin_country': 'US'}, {'id': 143790, 'logo_path': '/wo1smiXdiwwxai2dwJlRiGwE7rS.png', 'name': 'Spyglass Media Group', 'origin_country': 'US'}, {'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}]"
594767,False,/5HpDmq6nWTRCcvRynYKqgfLtqMb.jpg,"[14, 28, 35]",en,Shazam! Fury of the Gods,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",127.616,/zpCCTtuQMHiHycpsrWnW2eCrBql.jpg,2023-03-17,Shazam! Fury of the Gods,False,0.0,0,125000000,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",130,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]","[{'id': 12, 'logo_path': '/iaYpEp3LQmb8AfAtmTvpqd4149c.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 11565, 'logo_path': None, 'name': 'The Safran Company', 'origin_country': 'US'}, {'id': 128064, 'logo_path': '/13F3Jf7EFAcREU0xzZqJnVnyGXu.png', 'name': 'DC Films', 'origin_country': 'US'}]"
700391,False,/jXf9hWuLxBilWqUmWlMg542IOpi.jpg,"[878, 53]",en,65,"After a catastrophic crash on an unknown planet, pilot Mills quickly discovers he's actually stranded on Earth…65 million years ago. Now, with only one chance at rescue, Mills and the only other survivor, Koa, must make their way across an unknown terrain riddled with dangerous prehistoric creatures in an epic fight to survive.",126.861,/uMMIeMVk1TCG3CZilpxbzFh0JKT.jpg,2023-03-10,65,False,0.0,0,91000000,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",93,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]","[{'id': 122323, 'logo_path': '/gWiaDcDxt0AkSE9hxsUn5naFGRT.png', 'name': 'Raimi Productions', 'origin_country': 'US'}, {'id': 133303, 'logo_path': '/nZzVZZIXkyjb9omN7uiIzOIxgGw.png', 'name': 'Beck/Woods', 'origin_country': 'US'}, {'id': 13240, 'logo_path': '/aTc07YaNHo8WNgkQSnvLmG6w4nW.png', 'name': 'Bron Studios', 'origin_country': 'CA'}, {'id': 5, 'logo_path': '/lieeAioEBVsgsoDT9HICrdt5iRa.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]"
933419,False,/hEC6Beg2UN8RWgYtf2w3up3wVB7.jpg,"[35, 18]",en,Champions,A stubborn and hotheaded minor league basketball coach is forced to train a Special Olympics team when he is sentenced to community service.,25.911,/sP6Lq3OmAChOSdLHAgMUxav0l5E.jpg,2023-03-10,Champions,False,0.0,0,0,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",124,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]","[{'id': 12026, 'logo_path': '/l1Y8SRH3EaElU2niZQLT3I8tOFp.png', 'name': 'Gold Circle Films', 'origin_country': 'US'}, {'id': 10146, 'logo_path': '/xnFIOeq5cKw09kCWqV7foWDe4AA.png', 'name': 'Focus Features', 'origin_country': 'US'}]"
1071776,False,,"[99, 10402]",de,"Brian Eno & Roger Eno: Live at the Acropolis, Athens","Brian Eno and Roger Eno have been recording together since 1983. This unique musical event not only sees the two brothers performing live together for the first time but is one of very rare occasions that Brian has ever performed live in front of an audience. In front of a sell-out crowd and against a backdrop of spectacular images being projected onto the stones of the Odeon of Herodes Atticus amphitheatre, Brian and Roger perform atmospheric musical landscapes from legendary productions that include ambient records, television soundtracks and film scores.",22.894,,2023-03-09,"Brian Eno & Roger Eno: Live at the Acropolis, Athens",False,0.0,0,0,"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",81,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]","[{'id': 192989, 'logo_path': None, 'name': 'Heliodor Productions', 'origin_country': ''}]"
868985,False,/rcBXFdb7Q4hdN8kV7tZ631y9TFs.jpg,[35],es,¡Que viva México!,"It is a film that pretends to be a metaphor for an entire country and that questions our values, desires, and, above all, our idiosyncrasies; all this with a lot of black humor and framed in that little personal hell to which we all belong and that, for better or for worse, we all have: Family",22.148,/gcqmgfqKZy0ieTx2vhmzTwrlBRT.jpg,2023-03-23,¡Que viva México!,False,0.0,0,0,"[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",191,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",[]
916192,False,/zO3QSYs858SqiapafD7iJp17KVD.jpg,"[16, 18, 9648, 10749, 878]",ja,夏へのトンネル、さよならの出口,"Tono Kaoru heard a rumor: The laws of space and time mean nothing to the Urashima Tunnel. If you find it, walk through and you'll find your heart's desire on the other side...in exchange for years of your own life. On the night Kaoru just so happens to find himself standing in front of a tunnel that looks suspiciously like the one the rumor describes, he finds himself thinking of Karen, the sister he lost in an accident five years ago. To Kaoru's surprise, he's been followed by the new transfer student Anzu Hanaki, who promises to help him experiment with the mysterious tunnel--but what does she want from Kaoru in exchange? And what will he have left to give, after the tunnel's done with him?",18.956,/3x5gc6dHsfNqZryipu159IALEPH.jpg,2023-03-12,"The Tunnel to Summer, the Exit of Goodbyes",False,6.0,1,0,"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",83,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]","[{'id': 129814, 'logo_path': None, 'name': 'CLAP', 'origin_country': 'JP'}, {'id': 91520, 'logo_path': '/wdcFLdFVOPEm3uEp6Hb9OXgi5Zd.png', 'name': 'STUDIO MAUSU', 'origin_country': 'JP'}, {'id': 9148, 'logo_path': '/rtW3NadfF4kR5mTW00ahiFxw6k7.png', 'name': 'Pony Canyon', 'origin_country': 'JP'}]"
1087241,False,/bQTfSXQrcVwXJ5TvNzbd3ioMnnM.jpg,[53],en,The Ritual Killer,A detective on the verge of retirement teams with a professor of African Studies to track down a serial killer who is performing the ancient black magic practice of Muti.,17.169,/wiJJkfdx0rNVeEglyJSBwefSIs.jpg,2023-03-10,The Ritual Killer,False,0.0,0,7000000,[],0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",[]
